component,verb_up,frequency,predic,log_freq,log_predic
encoder,says up,71002,1.7788476395901e-4,11.170463324640798,-8.63419671022322
encoder,scale up,2161613,0.01717860375491216,14.586365260233643,-4.046762769399578
encoder,scaled up,732554,0.09221762056297572,13.504292337292682,-2.2868534549526536
encoder,scales up,168711,0.00804724584393052,12.035942470913376,-4.814345577590388
encoder,scaling up,919925,0.06248552781719102,13.732047423963015,-2.708297219715982
encoder,scampered up,17999,0.06519180131332558,9.798071479779479,-2.6630076588534504
encoder,scampering up,10485,0.04709354030236883,9.25770094333602,-3.0073809022721467
encoder,scare up,52657,0.00485453944196904,10.871554462190879,-5.322974683367955
encoder,scoop up,494544,0.04748720000145953,13.11139140485296,-2.9986433441566773
encoder,scooped up,591016,0.30945255084623297,13.289598368779812,-0.8026799162703623
encoder,scooping up,248440,0.2565985509267149,12.422956646673239,-1.0637234021536635
encoder,scramble up,121513,0.03349409698687364,11.707776531923862,-3.3623181922908008
encoder,scrambled up,107042,0.02705666906373895,11.580976559791386,-3.582392318203835
encoder,scrambling up,71095,0.02097773754385053,11.171772289830475,-3.8430926238255396
encoder,scrape up,135930,0.0325752023937849,11.819895326329293,-3.391086357155915
encoder,scratched up,148396,0.03552503660924974,11.907639655174249,-3.3013461693828776
encoder,screw up,1555829,0.03752355790596112,14.2575190805091,-3.244540643555774
encoder,screwed up,1996613,0.2781329911694813,14.506962802932081,-0.9537415388280517
encoder,screwing up,485490,0.22740324038727264,13.09291396917904,-1.2230324251511708
encoder,screws up,293508,0.02662608604935443,12.58966017511902,-3.598876884356402
encoder,scroll up,338593,0.01582162667628133,12.732554075106577,-4.130429373235637
encoder,scrolling up,88192,0.0132021422344003,11.387271534933276,-4.314086106853175
encoder,scrunch up,42746,0.04155462879251849,10.663030902735755,-3.1383036487707643
encoder,scrunched up,146196,0.4263007339454892,11.892703466142407,-0.29696028685371717
encoder,seal up,187258,0.0074294166143621,12.140242624098347,-4.894850788729506
encoder,sealed up,198265,0.0119549743100557,12.197359798677741,-4.414580817249181
encoder,sealing up,58349,0.00939698202738007,10.974197499607262,-4.657925289952404
encoder,search up,148461,6.1877179086504e-4,11.90807757646995,-7.387155063832699
encoder,see up,543111,4.1391653968586e-4,13.205068997914676,-7.789432197196864
encoder,seen up,224388,6.2254274419381e-4,12.32113197526496,-7.3810755300067985
encoder,seize up,105294,0.01623856161019216,11.564511716441661,-4.103994666988069
encoder,select up,239917,0.00168588807116189,12.388048309176657,-6.383775498037719
encoder,send up,403414,0.00244366946748475,12.90771860890748,-6.011807829154762
encoder,sending up,158993,0.00309267158814724,11.976615455076,-5.7756225062032005
