model,epoch,loss
OPT-350M,6.4,3.0088
OPT-350M,6.425,2.9779
OPT-350M,6.45,2.9953
OPT-350M,6.475,2.9842
OPT-350M,6.5,2.9917
OPT-350M,6.525,3.0322
OPT-350M,6.55,2.9775
OPT-350M,6.575,2.9956
OPT-350M,6.6,3.0099
OPT-350M,6.625,2.968
OPT-350M,6.65,2.9918
OPT-350M,6.675,2.9987
OPT-350M,6.7,2.9697
OPT-350M,6.725,2.9728
OPT-350M,6.75,2.9753
OPT-350M,6.775,2.9518
OPT-350M,6.8,2.9688
OPT-350M,6.825,2.9781
OPT-350M,6.85,2.9541
OPT-350M,6.875,2.9645
OPT-350M,6.9,2.9607
OPT-350M,6.925,2.9438
OPT-350M,6.95,2.9623
OPT-350M,6.975,2.9408
OPT-350M,7.0,2.944
OPT-350M,7.025,2.9641
OPT-350M,7.05,2.9395
OPT-350M,7.075,2.9434
OPT-350M,7.1,2.9604
OPT-350M,7.125,2.9402
OPT-350M,7.15,2.9536
OPT-350M,7.175,2.9267
OPT-350M,7.2,2.947
OPT-350M,7.225,2.9292
OPT-350M,7.25,2.9277
OPT-350M,7.275,2.9579
OPT-350M,7.3,2.9218
OPT-350M,7.325,2.9068
OPT-350M,7.35,2.9043
OPT-350M,7.375,2.9023
OPT-350M,7.4,2.9538
OPT-350M,7.425,2.9047
OPT-350M,7.45,2.9216
OPT-350M,7.475,2.9281
OPT-350M,7.5,2.9434
OPT-350M,7.525,2.9072
OPT-350M,7.55,2.9083
OPT-350M,7.575,2.9224
OPT-350M,7.6,2.9165
OPT-350M,7.625,2.8955
OPT-350M,7.65,2.9232
OPT-350M,7.675,2.9251
OPT-350M,7.7,2.9139
OPT-350M,7.725,2.9162
OPT-350M,7.75,2.9405
OPT-350M,7.775,2.902
OPT-350M,7.8,2.891
OPT-350M,7.825,2.9055
OPT-350M,7.85,2.9019
OPT-350M,7.875,2.9012
OPT-350M,7.9,2.8809
OPT-350M,7.925,2.8708
OPT-350M,7.95,2.9152
OPT-350M,7.975,2.8886
OPT-350M,8.0,2.9015
OPT-350M,8.025,2.8882
OPT-350M,8.05,2.8858
OPT-350M,8.075,2.9055
OPT-350M,8.1,2.8687
OPT-350M,8.125,2.8673
OPT-350M,8.15,2.8613
OPT-350M,8.175,2.887
OPT-350M,8.2,2.8691
OPT-350M,8.225,2.8718
OPT-350M,8.25,2.8958
OPT-350M,8.275,2.8709
OPT-350M,8.3,2.8688
OPT-350M,8.325,2.86
OPT-350M,8.35,2.8614
OPT-350M,8.375,2.8904
OPT-350M,8.4,2.8519
OPT-350M,8.425,2.9026
OPT-350M,8.45,2.8586
OPT-350M,8.475,2.8726
OPT-350M,8.5,2.8714
OPT-350M,8.525,2.8677
OPT-350M,8.55,2.8576
OPT-350M,8.575,2.8837
OPT-350M,8.6,2.8725
OPT-350M,8.625,2.8566
OPT-350M,8.65,2.8409
OPT-350M,8.675,2.8602
OPT-350M,8.7,2.8656
OPT-350M,8.725,2.8506
OPT-350M,8.75,2.8697
OPT-350M,8.775,2.8428
OPT-350M,8.8,2.8634
OPT-350M,8.825,2.8544
OPT-350M,8.85,2.8295
OPT-350M,8.875,2.8524
OPT-350M,8.9,2.877
OPT-350M,8.925,2.8519
OPT-350M,8.95,2.8441
OPT-350M,8.975,2.8482
OPT-350M,9.0,2.8597
OPT-350M,9.025,2.8443
OPT-350M,9.05,2.8311
OPT-350M,9.075,2.8274
OPT-350M,9.1,2.825
OPT-350M,9.125,2.8274
OPT-350M,9.15,2.8277
OPT-350M,9.175,2.8356
OPT-350M,9.2,2.8205
OPT-350M,9.225,2.851
OPT-350M,9.25,2.8295
OPT-350M,9.275,2.8561
OPT-350M,9.3,2.818
OPT-350M,9.325,2.8327
OPT-350M,9.35,2.8103
OPT-350M,9.375,2.8257
OPT-350M,9.4,2.8365
OPT-350M,9.425,2.8135
OPT-350M,9.45,2.8415
OPT-350M,9.475,2.8494
OPT-350M,9.5,2.8256
OPT-350M,9.525,2.8367
OPT-350M,9.55,2.8229
OPT-350M,9.575,2.8381
OPT-350M,9.6,2.801
OPT-350M,9.625,2.8244
OPT-350M,9.65,2.8194
OPT-350M,9.675,2.8149
OPT-350M,9.7,2.837
OPT-350M,9.725,2.8128
OPT-350M,9.75,2.7959
OPT-350M,9.775,2.8186
OPT-350M,9.8,2.8268
OPT-350M,9.825,2.7886
OPT-350M,9.85,2.8149
OPT-350M,9.875,2.8139
OPT-350M,9.9,2.8129
OPT-350M,9.925,2.8116
OPT-350M,9.95,2.8295
OPT-350M,9.975,2.8115
OPT-350M,10.0,2.8068
OPT-350M,10.025,2.8029
OPT-350M,10.05,2.7973
OPT-350M,10.075,2.806
OPT-350M,10.1,2.7921
OPT-350M,10.125,2.8132
OPT-350M,10.15,2.789
OPT-350M,10.175,2.7883
OPT-350M,10.2,2.7976
OPT-350M,10.225,2.7904
OPT-350M,10.25,2.7988
OPT-350M,10.275,2.8129
OPT-350M,10.3,2.7834
OPT-350M,10.325,2.8066
OPT-350M,10.35,2.7748
OPT-350M,10.375,2.7823
