verb_up,frequency,predic,log_freq,log_predic
fess up,153830,0.46833281069709526,11.943603375549797,-0.12683853241536913
fessed up,59300,0.9036052783957578,10.990364584985818,2.2379411811202226
fesses up,12939,0.4803430226083083,9.468001285315953,-0.07866845593353207
fessing up,20574,0.8945606330710031,9.931783421690975,2.138196618319392
fetch up,92356,0.0048934777385071,11.433405953738895,-5.314946544300657
fetched up,23270,0.00875569101102457,10.054920256296338,-4.729257141475401
fetches up,6557,0.00775217627245287,8.788288460263619,-4.851999285096024
fetching up,13982,0.0063253430374404,9.54552606707193,-5.056845577889921
fight up,57476,4.4239902161127e-4,10.959122748349097,-7.7228558223974275
fighting up,26455,4.2033535245774e-4,10.183200455338232,-7.7740372833342155
figure up,64309,4.6560427936879e-4,11.07145486932678,-7.671708757798414
file up,85205,2.27001971495e-4,11.352815396541493,-8.390324827780244
filed up,25014,5.1411812689176e-4,10.127190947108852,-7.572543249726922
files up,135658,9.3214059996039e-4,11.817892291652194,-6.977094321016884
filing up,15908,6.4776468046384e-4,9.67457740632758,-7.341335100427693
fill up,5221604,0.04938391307968858,15.468315192351572,-2.957485561949389
filled up,2058087,0.02465103639032669,14.537287468535087,-3.677976374520194
filling up,2195720,0.05923079064521886,14.602020568928427,-2.7652563295281953
fills up,799982,0.08154623291249434,13.592344506396936,-2.4215214337471402
filter up,49822,7.2299420659933e-4,10.816211932530674,-7.23138609314697
filtered up,8451,7.8916176751692e-4,9.042040056544483,-7.143749756275738
filtering up,12556,0.00105229052537925,9.437953917961844,-6.855733193412161
filters up,17304,6.3739415118669e-4,9.758692967632895,-7.357484734698434
finance up,33334,6.6839114817845e-4,10.414333176102122,-7.309968390009349
financing up,21046,6.9724060883556e-4,9.954465797300758,-7.267682516615856
find up,311060,3.0664185297317e-4,12.647741098598551,-8.089523405203755
finding up,33179,2.6987697086587e-4,10.409672424652523,-8.217274452877573
fined up,181207,0.03546717289598439,12.107395303191423,-3.3030363056052745
finish up,2054644,0.01581588627338866,14.53561315489565,-4.130798091758287
finished up,1475394,0.01280812258775687,14.204435630730291,-4.34478487837721
finishes up,168362,0.01140557937297427,12.033871702120196,-4.462181502789507
finishing up,1672785,0.05442607388913347,14.330000460054922,-2.8549487338946244
fire up,1300522,0.0060117740208814,14.07827628029831,-5.108005478321122
fired up,1861026,0.06098425641814285,14.436638506510137,-2.7342165060394543
fires up,245168,0.01321175210483352,12.409698968817958,-4.313348730803763
firing up,370682,0.02281693582663703,12.823099831175442,-3.7571709486252325
firm up,505063,0.0033907089447191,13.132438452951801,-5.683319780792667
firmed up,160303,0.475332400279916,11.984821053332068,-0.09875056932266149
firming up,103362,0.1923132024849898,11.545992668674424,-1.4350490506303188
firms up,75308,0.00152500991556149,11.229341649844603,-6.4842281930096135
fish up,117743,6.627360489539e-4,11.676259562128548,-7.3184708075004385
fished up,22196,0.01010921744199816,10.007667371445791,-4.584146990710182
fishing up,32377,6.6649020948793e-4,10.385203573155552,-7.312818395481043
fit up,220597,0.00103502350888936,12.304092786434364,-6.872295579104391
fits up,58631,0.00150120290056232,10.979018845927424,-6.499986227708175
fitted up,91482,0.00411416384168874,11.423897510599963,-5.489197012847856
fitting up,31391,0.00124212183897184,10.354276506607956,-6.689691307359391
fix up,640553,0.0062142175451021,13.370087144748751,-5.0746818535966
fixed up,521589,0.00522006166447978,13.16463520041515,-5.25001233025196
fixes up,28820,0.00210531021767972,10.268824869553512,-6.161184921387974
fixing up,371857,0.02289135273497729,12.826264650749206,-3.753838621418188
fixtures up,8314,7.9564658630387e-4,9.025696119812583,-7.1355594944857215
fizz up,7571,0.00298065820145564,8.932080438103307,-5.81262602067204
flag up,148926,0.00288335146713831,11.911204817263668,-5.845914441212565
flagged up,113906,0.02823931096735742,11.643128825835381,-3.5383945562936785
flagging up,33524,0.02519048406245773,10.420016879218796,-3.655775777008644
flags up,46180,0.00151181190624225,10.740302082908487,-6.492933453749672
flair up,40428,0.00743005515016695,10.607277893194553,-4.894764202142921
flame up,24101,0.00171660937987673,10.090008612393838,-6.365686140034948
flamed up,9854,0.0220203085614173,9.195632743103909,-3.7935237604425582
flap up,16547,0.00301822022227613,9.713960095491844,-5.800065167456194
flaps up,15128,0.00644020650551108,9.624302610338294,-5.038733639200546
flare up,698145,0.10539884800943984,13.456182096559978,-2.1386262723679015
flared up,325447,0.18643729903168577,12.69295490095221,-1.4733280149141823
flares up,162045,0.05988985544312284,11.995629353419195,-2.7534899108930526
flaring up,136215,0.12968818282306369,11.821989798792039,-1.9037185824302618
flash up,53177,7.9776069531452e-4,10.881381251020752,-7.13290380697016
flashed up,55608,0.01277597653234522,10.926082354780322,-4.3473304137537205
flashes up,29220,0.00532080522247411,10.282608685304691,-5.230795618353877
flashing up,23464,0.00339802282108882,10.063222610657286,-5.681157730506846
flavor up,24167,5.0519620225909e-4,10.092743345182981,-7.590058360961217
flew up,402687,0.02464259736832797,12.905914864222614,-3.678327424844925
flex up,17232,2.6195265394278e-4,9.75452339939617,-8.247084793705751
flick up,20963,0.00129760101346953,9.950514257963883,-6.645939649942915
flicked up,23036,0.01849002416802516,10.044813488626563,-3.971860825043862
flicking up,11888,0.01282611486752569,9.38328476695754,-4.3433628828087825
flies up,91631,0.00676985678617726,11.425524921355999,-4.988482470247649
flip up,172638,0.00745887772919821,12.058952195624116,-4.89086348026807
flipped up,87101,0.01378556429000569,11.374823643830945,-4.270251832680581
flipping up,23669,0.00432512104272164,10.07192145404481,-5.4389806507974
flips up,51927,0.016246043063730842,10.857594165094508,-4.103526446668665
float up,154373,0.00316700711109243,11.947127030814869,-5.7517962333647565
floated up,101263,0.02778914356484687,11.525476371788573,-3.554927286249285
floating up,97017,0.0044275753465237,11.482641499861636,-5.415465764517166
floats up,50448,0.0113185627525323,10.828698381784841,-4.4699280744275764
flooded up,9657,0.00123772940674349,9.1754383199669185,-6.693238205488939
