layer,log_predic,fit,panel
30,-6.880468487123604,13.610502338970768,OLMo-3 7B
31,-6.880468487123604,13.05356687576131,OLMo-3 7B
0,-6.71437579455786,17.55062860458802,OLMo-3 7B
1,-6.71437579455786,16.251490502962803,OLMo-3 7B
2,-6.71437579455786,14.986983976107723,OLMo-3 7B
3,-6.71437579455786,13.791740598792924,OLMo-3 7B
4,-6.71437579455786,12.700391945788539,OLMo-3 7B
5,-6.71437579455786,11.74756959186471,OLMo-3 7B
6,-6.71437579455786,10.967905111791579,OLMo-3 7B
7,-6.71437579455786,10.39603008033928,OLMo-3 7B
8,-6.71437579455786,10.06638355594056,OLMo-3 7B
9,-6.71437579455786,9.990110120203202,OLMo-3 7B
10,-6.71437579455786,10.133113015446853,OLMo-3 7B
11,-6.71437579455786,10.456097542881453,OLMo-3 7B
12,-6.71437579455786,10.91976900371695,OLMo-3 7B
13,-6.71437579455786,11.484832699163286,OLMo-3 7B
14,-6.71437579455786,12.111993930430405,OLMo-3 7B
15,-6.71437579455786,12.761957998728251,OLMo-3 7B
16,-6.71437579455786,13.395977815426802,OLMo-3 7B
17,-6.71437579455786,13.987901325576804,OLMo-3 7B
18,-6.71437579455786,14.524171507909774,OLMo-3 7B
19,-6.71437579455786,14.991778951317265,OLMo-3 7B
20,-6.71437579455786,15.377714244690829,OLMo-3 7B
21,-6.71437579455786,15.668967976922012,OLMo-3 7B
22,-6.71437579455786,15.85253073690237,OLMo-3 7B
23,-6.71437579455786,15.915393113523454,OLMo-3 7B
24,-6.71437579455786,15.846703020021586,OLMo-3 7B
25,-6.71437579455786,15.654385081522816,OLMo-3 7B
26,-6.71437579455786,15.35603193225385,OLMo-3 7B
27,-6.71437579455786,14.969316107343055,OLMo-3 7B
28,-6.71437579455786,14.511910141918793,OLMo-3 7B
29,-6.71437579455786,14.001486571109435,OLMo-3 7B
30,-6.71437579455786,13.455717930043345,OLMo-3 7B
31,-6.71437579455786,12.89227675384889,OLMo-3 7B
0,-6.5482831019921175,17.441125136640718,OLMo-3 7B
1,-6.5482831019921175,16.147718100650376,OLMo-3 7B
2,-6.5482831019921175,14.889003437899229,OLMo-3 7B
3,-6.5482831019921175,13.69967352162647,OLMo-3 7B
4,-6.5482831019921175,12.614420725071296,OLMo-3 7B
5,-6.5482831019921175,11.6679374214729,OLMo-3 7B
6,-6.5482831019921175,10.894915984070476,OLMo-3 7B
7,-6.5482831019921175,10.33004878610322,OLMo-3 7B
8,-6.5482831019921175,10.00783427079398,OLMo-3 7B
9,-6.5482831019921175,9.939305349387698,OLMo-3 7B
10,-6.5482831019921175,10.089921379287935,OLMo-3 7B
11,-6.5482831019921175,10.419905607456895,OLMo-3 7B
12,-6.5482831019921175,10.88948128085679,OLMo-3 7B
13,-6.5482831019921175,11.458871646449825,OLMo-3 7B
14,-6.5482831019921175,12.08829995119821,OLMo-3 7B
15,-6.5482831019921175,12.737989442064151,OLMo-3 7B
16,-6.5482831019921175,13.368732704471391,OLMo-3 7B
17,-6.5482831019921175,13.954417108458989,OLMo-3 7B
18,-6.5482831019921175,14.482024808681324,OLMo-3 7B
19,-6.5482831019921175,14.939107298254303,OLMo-3 7B
20,-6.5482831019921175,15.313216070293839,OLMo-3 7B
21,-6.5482831019921175,15.591902617915842,OLMo-3 7B
22,-6.5482831019921175,15.762718434236225,OLMo-3 7B
23,-6.5482831019921175,15.8132150123709,OLMo-3 7B
24,-6.5482831019921175,15.733051912170938,OLMo-3 7B
25,-6.5482831019921175,15.530236681737916,OLMo-3 7B
26,-6.5482831019921175,15.222224131208776,OLMo-3 7B
27,-6.5482831019921175,14.826547147266202,OLMo-3 7B
28,-6.5482831019921175,14.360738616592883,OLMo-3 7B
29,-6.5482831019921175,13.842331425871505,OLMo-3 7B
30,-6.5482831019921175,13.288858461784752,OLMo-3 7B
