layer,log_predic,fit,panel
14,-7.877024642518062,14.847880825358187,OLMo-3 7B
15,-7.877024642518062,15.500256304923756,OLMo-3 7B
16,-7.877024642518062,16.101474426333347,OLMo-3 7B
17,-7.877024642518062,16.63691804385673,OLMo-3 7B
18,-7.877024642518062,17.09950617923334,OLMo-3 7B
19,-7.877024642518062,17.482485513657796,OLMo-3 7B
20,-7.877024642518062,17.779102728324723,OLMo-3 7B
21,-7.877024642518062,17.982604504428753,OLMo-3 7B
22,-7.877024642518062,18.08623752316451,OLMo-3 7B
23,-7.877024642518062,18.083248465726616,OLMo-3 7B
24,-7.877024642518062,17.968402780959707,OLMo-3 7B
25,-7.877024642518062,17.74968482132875,OLMo-3 7B
26,-7.877024642518062,17.44188526839687,OLMo-3 7B
27,-7.877024642518062,17.059851054380882,OLMo-3 7B
28,-7.877024642518062,16.618429111497612,OLMo-3 7B
29,-7.877024642518062,16.13246637196388,OLMo-3 7B
30,-7.877024642518062,15.6168097679965,OLMo-3 7B
31,-7.877024642518062,15.086306231812305,OLMo-3 7B
0,-7.710931949952319,10.024040552651378,OLMo-3 7B
1,-7.710931949952319,10.000449521443953,OLMo-3 7B
2,-7.710931949952319,9.991241098334855,OLMo-3 7B
3,-7.710931949952319,10.010797891422413,OLMo-3 7B
4,-7.710931949952319,10.073502508804959,OLMo-3 7B
5,-7.710931949952319,10.193737558580812,OLMo-3 7B
6,-7.710931949952319,10.385885648848308,OLMo-3 7B
7,-7.710931949952319,10.664329387705774,OLMo-3 7B
8,-7.710931949952319,11.043355839757082,OLMo-3 7B
9,-7.710931949952319,11.525691306777407,OLMo-3 7B
10,-7.710931949952319,12.091609369345681,OLMo-3 7B
11,-7.710931949952319,12.718803933690628,OLMo-3 7B
12,-7.710931949952319,13.384968906040971,OLMo-3 7B
