layer,log_freq,fit,panel
4,14.699796836493846,12.40903175010917,Encoder
5,14.699796836493846,12.241612640694674,Encoder
6,14.699796836493846,12.12006111929618,Encoder
7,14.699796836493846,12.046374796574188,Encoder
8,14.699796836493846,12.008879152737485,Encoder
9,14.699796836493846,11.995634677707747,Encoder
10,14.699796836493846,11.997569298047525,Encoder
11,14.699796836493846,12.007087365143052,Encoder
0,14.832808673297919,13.23403069528264,Encoder
1,14.832808673297919,13.0100856274164,Encoder
2,14.832808673297919,12.789928459179013,Encoder
3,14.832808673297919,12.57738109334694,Encoder
4,14.832808673297919,12.380379813556923,Encoder
5,14.832808673297919,12.214851643133006,Encoder
6,14.832808673297919,12.097024615624322,Encoder
7,14.832808673297919,12.028934045093749,Encoder
8,14.832808673297919,11.998422526117922,Encoder
9,14.832808673297919,11.993061231418373,Encoder
10,14.832808673297919,12.003429794187522,Encoder
11,14.832808673297919,12.02165688471129,Encoder
0,14.965820510101992,13.206079822311143,Encoder
1,14.965820510101992,12.981429265309078,Encoder
2,14.965820510101992,12.760766286182639,Encoder
3,14.965820510101992,12.548113458768851,Encoder
4,14.965820510101992,12.351727868232635,Encoder
5,14.965820510101992,12.188090650664943,Encoder
6,14.965820510101992,12.073988124317305,Encoder
7,14.965820510101992,12.011493305112243,Encoder
8,14.965820510101992,11.98796590664322,Encoder
9,14.965820510101992,11.990487788936058,Encoder
10,14.965820510101992,12.009290292715711,Encoder
11,14.965820510101992,12.036226406215993,Encoder
0,15.098832346906065,13.178128935289896,Encoder
1,15.098832346906065,12.95277288173705,Encoder
2,15.098832346906065,12.731604088210613,Encoder
3,15.098832346906065,12.518845803481915,Encoder
4,15.098832346906065,12.32307591445811,Encoder
5,15.098832346906065,12.161329663103604,Encoder
6,15.098832346906065,12.050951644921518,Encoder
7,15.098832346906065,11.994052576207807,Encoder
8,15.098832346906065,11.977509294051247,Encoder
9,15.098832346906065,11.987914350121128,Encoder
10,15.098832346906065,12.015150793544464,Encoder
11,15.098832346906065,12.050795929586126,Encoder
0,15.231844183710136,13.15017803475397,Encoder
1,15.231844183710136,12.924116477517803,Encoder
2,15.231844183710136,12.702441866214125,Encoder
3,15.231844183710136,12.489578128274793,Encoder
4,15.231844183710136,12.294423952555187,Encoder
5,15.231844183710136,12.134568680262138,Encoder
6,15.231844183710136,12.027915176983322,Encoder
7,15.231844183710136,11.976611857958575,Encoder
8,15.231844183710136,11.967052688079894,Encoder
9,15.231844183710136,11.985340914833907,Encoder
10,15.231844183710136,12.021011296586192,Encoder
11,15.231844183710136,12.065365454750632,Encoder
0,15.364856020514209,13.122227121238447,Encoder
1,15.364856020514209,12.895460053468785,Encoder
2,15.364856020514209,12.673279621144335,Encoder
3,15.364856020514209,12.460310433936183,Encoder
4,15.364856020514209,12.265771982845683,Encoder
5,15.364856020514209,12.107807701953657,Encoder
6,15.364856020514209,12.004878720049081,Encoder
7,15.364856020514209,11.9591711499427,Encoder
8,15.364856020514209,11.956596088467036,Encoder
9,15.364856020514209,11.982767482934728,Encoder
10,15.364856020514209,12.026871801753256,Encoder
11,15.364856020514209,12.079934981638484,Encoder
0,15.49786785731828,13.094276195278393,Encoder
1,15.49786785731828,12.866803610407471,Encoder
2,15.49786785731828,12.644117353952439,Encoder
3,15.49786785731828,12.431042721254755,Encoder
4,15.49786785731828,12.237120005651406,Encoder
5,15.49786785731828,12.0810467279913,Encoder
6,15.49786785731828,11.98184227366518,Encoder
7,15.49786785731828,11.941730451738307,Encoder
8,15.49786785731828,11.946139494950543,Encoder
9,15.49786785731828,11.980194054283926,Encoder
10,15.49786785731828,12.032732308958048,Encoder
11,15.49786785731828,12.094504510178623,Encoder
0,15.630879694122353,13.066325257408888,Encoder
1,15.630879694122353,12.83814714915133,Encoder
2,15.630879694122353,12.614955065589603,Encoder
3,15.630879694122353,12.4017749910192,Encoder
4,15.630879694122353,12.208468021294188,Encoder
5,15.630879694122353,12.054285758188211,Encoder
6,15.630879694122353,11.958805837377978,Encoder
7,15.630879694122353,11.924289762923532,Encoder
8,15.630879694122353,11.935682907268292,Encoder
9,15.630879694122353,11.977620628741832,Encoder
10,15.630879694122353,12.03859281811295,Encoder
11,15.630879694122353,12.109074040300014,Encoder
0,15.763891530926426,13.038374308165002,Encoder
1,15.763891530926426,12.809490670517823,Encoder
2,15.763891530926426,12.58579275700701,Encoder
3,15.763891530926426,12.37250724401819,Encoder
4,15.763891530926426,12.179816030095848,Encoder
5,15.763891530926426,12.027524792357497,Encoder
6,15.763891530926426,11.935769410733837,Encoder
7,15.763891530926426,11.906849083076521,Encoder
8,15.763891530926426,11.925226325158162,Encoder
9,15.763891530926426,11.97504720616876,Encoder
10,15.763891530926426,12.044453329130349,Encoder
11,15.763891530926426,12.123643571931614,Encoder
0,15.896903367730499,13.01042334808181,Encoder
1,15.896903367730499,12.780834175324415,Encoder
2,15.896903367730499,12.556630429155847,Encoder
3,15.896903367730499,12.343239481040417,Encoder
4,15.896903367730499,12.15116403237821,Encoder
5,15.896903367730499,12.000763830312302,Encoder
6,15.896903367730499,11.912732993279148,Encoder
7,15.896903367730499,11.889408411775412,Encoder
8,15.896903367730499,11.914769748358019,Encoder
9,15.896903367730499,11.97247378642507,Encoder
10,15.896903367730499,12.05031384192263,Encoder
11,15.896903367730499,12.138213105002375,Encoder
0,16.029915204534568,12.982472377694391,Encoder
1,16.029915204534568,12.752177664388586,Encoder
2,16.029915204534568,12.527468082987285,Encoder
3,16.029915204534568,12.313971702874555,Encoder
4,16.029915204534568,12.122512028463078,Encoder
